"frame","x [nm]","y [nm]","z [nm]","sigma [nm]","intensity [photon]","background [photon]"
1,9669.38589936655,7063.10326539851,4.74158108937376,125.123849964614,492.64945693882,1
1,9669.38589936655,7063.10326539851,4.74158108937376,125.123849964614,492.64945693882,1
1,6615.95037336583,12827.7826825397,0,125.123849964614,513.610166675097,1
1,6615.95037336583,12827.7826825397,0,125.123849964614,513.610166675097,1
1,5710.19928458351,12138.7254552159,55.3955090661003,125.123849964614,324.774538460254,1
1,5710.19928458351,12138.7254552159,55.3955090661003,125.123849964614,324.774538460254,1
1,10094.3539640893,430.950445475594,0,125.123849964614,513.610166675097,1
1,10094.3539640893,430.950445475594,0,125.123849964614,513.610166675097,1
1,12620.675753818,1272.92337466095,25.4684152346098,125.123849964614,417.018762075997,1
1,12620.675753818,1272.92337466095,25.4684152346098,125.123849964614,417.018762075997,1
1,3475.25984670179,13189.4944279138,38.2811176923402,125.123849964614,374.202794012647,1
1,3475.25984670179,13189.4944279138,38.2811176923402,125.123849964614,374.202794012647,1
1,1915.58476789007,7708.43851806988,29.0693318490154,125.123849964614,403.347260882979,1
1,1915.58476789007,7708.43851806988,29.0693318490154,125.123849964614,403.347260882979,1
1,16152.9071787559,22797.545967331,31.8829219088014,125.123849964614,393.388581528647,1
1,16152.9071787559,22797.545967331,31.8829219088014,125.123849964614,393.388581528647,1
1,8414.94182326566,12909.8140422817,33.9014635592631,125.123849964614,386.886440192802,1
1,8414.94182326566,12909.8140422817,33.9014635592631,125.123849964614,386.886440192802,1
1,3047.81051225944,5412.9647015711,37.9964698910175,125.123849964614,374.202794012647,1
1,3047.81051225944,5412.9647015711,37.9964698910175,125.123849964614,374.202794012647,1
1,5029.63401866471,9213.89034095181,56.5294895046261,125.123849964614,319.406487503751,1
1,5029.63401866471,9213.89034095181,56.5294895046261,125.123849964614,319.406487503751,1
1,17803.7068651883,4165.85316022306,23.8456179590246,125.123849964614,420.50843855041,1
1,17803.7068651883,4165.85316022306,23.8456179590246,125.123849964614,420.50843855041,1
1,5317.36079595789,15855.4179737522,80.3886442780734,125.123849964614,263.696252080177,1
1,5317.36079595789,15855.4179737522,80.3886442780734,125.123849964614,263.696252080177,1
1,23939.1052435777,7778.58714399294,9.75342715292633,125.123849964614,472.544165146258,1
1,15343.8479885224,20572.9502427538,59.8454942371796,125.123849964614,311.520313228562,1
1,25606.9487549382,22645.2415561862,31.3318244645304,125.123849964614,396.68051705555,1
1,19318.2503274721,17852.767737744,11.2502961608027,125.123849964614,468.622659404503,1
1,4872.87511713615,20822.5311833131,18.9155432777014,125.123849964614,438.399771217005,1
1,3452.56464080935,22499.2170581036,30.0972927615878,125.123849964614,400,1
1,7771.77264853265,13528.6063416972,8.18197612996948,125.123849964614,480.485898507806,1
1,20755.8885367926,16866.7721100184,22.7929288499728,125.123849964614,424.027317168715,1
1,2801.44168472762,19210.6773656106,30.7964883242032,125.123849964614,396.68051705555,1
1,1318.39953005606,21125.2312140516,50.4613771909773,125.123849964614,338.592689956246,1
1,1013.37809962115,18086.2086740875,22.9761946726891,125.123849964614,424.027317168715,1
1,6485.17241495583,4605.74764349391,21.1732852516934,125.123849964614,431.153660353853,1
1,7097.91294099355,7748.58612728832,23.0889143323345,125.123849964614,424.027317168715,1
